GTOD,GATG,GHTG,SESI,SEWN,GDAT,SEWT
750,84,21,1,12,5,12
1200,68,102,1,14,5,14
930,51,68,1,3,5,3
750,100,15,1,1,5,1
1080,59,101,1,6,5,6
1200,103,104,1,3,5,3
750,50,20,1,4,5,4
750,38,37,1,3,5,3
930,47,112,1,3,5,3
1200,87,68,1,9,5,9
930,27,28,1,12,5,12
750,36,42,1,3,5,3
930,78,68,1,5,5,5
750,31,30,1,13,5,13
1200,42,44,1,1,5,1
930,83,89,1,2,5,2
930,68,52,1,4,5,4
750,112,108,1,5,5,5
1080,22,23,1,2,5,2
750,21,84,0,12,5,12
1080,102,68,0,7,5,7
930,68,51,0,2,5,2
750,15,100,0,1,5,1
1080,101,59,0,2,5,2
1200,104,103,0,2,5,2
750,20,50,0,4,5,4
750,37,38,0,2,5,2
930,112,47,0,3,5,3
1200,68,87,0,13,5,13
930,28,27,0,13,5,13
750,42,36,0,3,5,3
930,68,78,0,5,5,5
750,30,31,0,13,5,13
1200,44,42,0,1,5,1
930,89,83,0,2,5,2
930,52,68,0,3,5,3
750,108,112,0,5,5,5
1080,23,22,0,1,5,1
